,mAP_berlinerdom,mAP_brandenburgertor,mAP_fernsehturm,mAP_reichstag,mAP_rotesrathaus,total_mAP,fp_berlinerdom_0.50,fp_brandenburgertor_0.50,fp_rathaus_0.50,fp_reichstag_0.50,fp_berlinerdom_0.75,fp_brandenburgertor_0.75,fp_rathaus_0.75,fp_reichstag_0.75
0,0.007761,0.030415,0.065179,0.004551,0.002257,0.022032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.023368,0.695616,0.098316,0.150331,0.013242,0.196174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.552283,0.781951,0.215063,0.031983,0.073726,0.331001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.176282,0.726071,0.076872,0.019098,0.137962,0.227257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.822708,0.575503,0.080677,0.035502,0.19268,0.341414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.659215,0.862688,0.025232,0.124686,0.619895,0.458343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.79508,0.812627,0.03682,0.118326,0.73635,0.49984,0.852804254174,0.0,0.298370683858,0.0,0.852804254174,0.0,0.0,0.0
7,0.907023,0.83103,0.08118,0.386753,0.665178,0.574233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.864874,0.79296,0.19928,0.518244,0.760252,0.627122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.926237,0.81069,0.211945,0.819512,0.651422,0.683961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.875229,0.847108,0.123853,0.863452,0.734281,0.688785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.909434,0.916034,0.178981,0.68056,0.654608,0.667923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.572899,0.878617,0.222295,0.727584,0.632897,0.606858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.914691,0.895476,0.179503,0.904463,0.723494,0.723525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.860201,0.894057,0.150169,0.941176,0.788236,0.726768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.861932,0.904701,0.205252,0.977273,0.673352,0.724502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.873424,0.913653,0.300258,0.838076,0.709626,0.727007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.960925,0.918113,0.273366,0.820877,0.695757,0.733807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.877229,0.879747,0.129559,0.951049,0.737726,0.715062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.867241,0.9196,0.202061,0.941057,0.67114,0.72022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.943698,0.928095,0.49679,0.894089,0.70263,0.79306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.842424,0.963536,0.218804,0.980237,0.619577,0.724916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
